utt_id,Real,Azure,Raw prediction,LoRA prediction,LoRA+Prompt prediction,WER__Azure,S__Azure,D__Azure,I__Azure,Subs__Azure,Dels__Azure,Ins__Azure,WER__Raw prediction,S__Raw prediction,D__Raw prediction,I__Raw prediction,Subs__Raw prediction,Dels__Raw prediction,Ins__Raw prediction,WER__LoRA prediction,S__LoRA prediction,D__LoRA prediction,I__LoRA prediction,Subs__LoRA prediction,Dels__LoRA prediction,Ins__LoRA prediction,WER__LoRA+Prompt prediction,S__LoRA+Prompt prediction,D__LoRA+Prompt prediction,I__LoRA+Prompt prediction,Subs__LoRA+Prompt prediction,Dels__LoRA+Prompt prediction,Ins__LoRA+Prompt prediction,delta_WER__Large_v3_stage,comparison__Large_v3_stage,delta_WER__Prompt_stage,comparison__Prompt_stage,delta_WER__Azure_to_LoRA,comparison__Azure_to_LoRA,delta_WER__Azure_to_Final,comparison__Azure_to_Final
01-01,Busan Tower Singapore 616 runway in sight joining downwind Runway 18R,Busan Towers Singapore 616 runway inside joining down runway one in right.,busan tower singapore 616 runway inside joining downwind runway 1e right,busan tower singapore 616 runway inside joining down runway one in right,busan tower singa 4616 runway in sight joining downwind runway one in right,0.6363636363636364,4,1,2,tower->towers | sight->inside | downwind->down | 18r->right,in,one | in,0.36363636363636365,2,1,1,sight->inside | 18r->right,in,1e,0.5454545454545454,3,1,2,sight->inside | downwind->down | 18r->right,in,one | in,0.45454545454545453,3,0,2,singapore->singa | 616->4616 | 18r->right,,one | in,-0.2727272727272727,Improvement,-0.09090909090909088,Improvement,-0.09090909090909094,Improvement,-0.18181818181818182,Improvement
01-02,"Roger, activate Route 2.","Roger, activate Route 2.",roger activity route 2,roger activate route 2,roger activate route 2,0.0,0,0,0,,,,0.25,1,0,0,activate->activity,,,0.0,0,0,0,,,,0.0,0,0,0,,,,0.25,Worsen,0.0,Same,0.0,Same,0.0,Same
01-03,Roger. Direct AB18R,"Roger directs a bit Money, right?",roger diving will be money right,roger direct ab18r,roger direct ab18r,1.6666666666666667,2,0,3,direct->money | ab18r->right,,directs | a | bit,1.6666666666666667,2,0,3,direct->money | ab18r->right,,diving | will | be,0.0,0,0,0,,,,0.0,0,0,0,,,,0.0,Same,0.0,Same,-1.6666666666666667,Improvement,-1.6666666666666667,Improvement
01-04,Flaps 30. Flaps at 30,Flights 30. Febsat 30.,flaps 30 flaps 30,flaps 30 flaps at 30,flaps 30,0.6,2,1,0,flaps->flights | at->febsat,flaps,,0.2,0,1,0,,at,,0.0,0,0,0,,,,0.6,0,3,0,,flaps | 30 | at,,-0.39999999999999997,Improvement,0.6,Worsen,-0.6,Improvement,0.0,Same
01-05,VS 700 check. Roger Landing Checklist below the line. Landing Gear.,Via 700 check. Roger Dancing checklist below the line landing gear.,ds700 check roger landing checklist preloaded line landing here,bs 700 check roger landing checklist preloaded line landing here,bs 700 check roger landing checklist preloaded line landing here,0.18181818181818182,2,0,0,vs->via | landing->dancing,,,0.45454545454545453,3,2,0,700->ds700 | the->preloaded | gear->here,vs | below,,0.36363636363636365,3,1,0,vs->bs | the->preloaded | gear->here,below,,0.36363636363636365,3,1,0,vs->bs | the->preloaded | gear->here,below,,0.2727272727272727,Worsen,0.0,Same,0.18181818181818182,Worsen,0.18181818181818182,Worsen
01-06,30 Green light exterior lights on landing clearance.,30 Green light exterior lights on landing clearance.,30 green light exterior lights on landing clearance,30 green light extra lights on landing clearance,30 green light x3 lights on landing clearance,0.0,0,0,0,,,,0.0,0,0,0,,,,0.125,1,0,0,exterior->extra,,,0.125,1,0,0,exterior->x3,,,0.0,Same,0.0,Same,0.125,Worsen,0.125,Worsen
01-07,Obtained runway 18R. Landing checklist complete.,Obtain runway 1/8. Right landing track is complete.,optane runway 18r landing channel is complete,obtain runway 18r landing checklist complete,optain runway 18r landing checklist complete,1.0,3,0,3,obtained->obtain | 18r->right | checklist->is,,1 | 8 | track,0.5,2,0,1,obtained->optane | checklist->is,,channel,0.16666666666666666,1,0,0,obtained->obtain,,,0.16666666666666666,1,0,0,obtained->optain,,,-0.5,Improvement,0.0,Same,-0.8333333333333334,Improvement,-0.8333333333333334,Improvement
01-08,Captain wrong runway. Captain wrong runway.,Captain run runway. Katyn Long runway.,captain ron renwee captain ron renwee,captain wrong runway captain wrong runway,captain wrong runway captain wrong runway,0.5,3,0,0,wrong->run | captain->katyn | wrong->long,,,0.6666666666666666,4,0,0,wrong->ron | runway->renwee | wrong->ron | runway->renwee,,,0.0,0,0,0,,,,0.0,0,0,0,,,,0.16666666666666663,Worsen,0.0,Same,-0.5,Improvement,-0.5,Improvement
01-09,Busan Tower Singapore 616 runway in sight joining downwind Runway 18R,The Sun Tower Singapore 616 runway inside joining downway 1/8 right.,busan tower singapore 616 runway inside joining darwin runway 18r,bussan targo singapore 616 runway in sight joining downwind runway 18r,bussant taro singa 4616 runway in sight joining downwind runway 18 right,0.7272727272727273,7,0,1,busan->sun | in->inside | sight->joining | joining->downway | downwind->1 | runway->8 | 18r->right,,the,0.2727272727272727,2,1,0,sight->inside | downwind->darwin,in,,0.18181818181818182,2,0,0,busan->bussan | tower->targo,,,0.5454545454545454,5,0,1,busan->bussant | tower->taro | singapore->singa | 616->4616 | 18r->right,,18,-0.4545454545454546,Improvement,0.3636363636363636,Worsen,-0.5454545454545454,Improvement,-0.18181818181818188,Improvement
01-10,Roger. Activate Route 2,Roger,roger activating route 2,roger activating route 2,roger activate route 2,0.75,0,3,0,,activate | route | 2,,0.25,1,0,0,activate->activating,,,0.25,1,0,0,activate->activating,,,0.0,0,0,0,,,,-0.5,Improvement,-0.25,Improvement,-0.5,Improvement,-0.75,Improvement
