utt_id,prev_wer,next_wer,delta_wer,comparison,ref,prev_text,next_text
01-01,0.6363636363636364,0.5454545454545454,-0.09090909090909094,Improvement,Busan Tower Singapore 616 runway in sight joining downwind Runway 18R,Busan Towers Singapore 616 runway inside joining down runway one in right.,busan tower singapore 616 runway inside joining down runway one in right
01-02,0.0,0.0,0.0,Same,"Roger, activate Route 2.","Roger, activate Route 2.",roger activate route 2
01-03,1.6666666666666667,0.0,-1.6666666666666667,Improvement,Roger. Direct AB18R,"Roger directs a bit Money, right?",roger direct ab18r
01-04,0.6,0.0,-0.6,Improvement,Flaps 30. Flaps at 30,Flights 30. Febsat 30.,flaps 30 flaps at 30
01-05,0.18181818181818182,0.36363636363636365,0.18181818181818182,Worsen,VS 700 check. Roger Landing Checklist below the line. Landing Gear.,Via 700 check. Roger Dancing checklist below the line landing gear.,bs 700 check roger landing checklist preloaded line landing here
01-06,0.0,0.125,0.125,Worsen,30 Green light exterior lights on landing clearance.,30 Green light exterior lights on landing clearance.,30 green light extra lights on landing clearance
01-07,1.0,0.16666666666666666,-0.8333333333333334,Improvement,Obtained runway 18R. Landing checklist complete.,Obtain runway 1/8. Right landing track is complete.,obtain runway 18r landing checklist complete
01-08,0.5,0.0,-0.5,Improvement,Captain wrong runway. Captain wrong runway.,Captain run runway. Katyn Long runway.,captain wrong runway captain wrong runway
01-09,0.7272727272727273,0.18181818181818182,-0.5454545454545454,Improvement,Busan Tower Singapore 616 runway in sight joining downwind Runway 18R,The Sun Tower Singapore 616 runway inside joining downway 1/8 right.,bussan targo singapore 616 runway in sight joining downwind runway 18r
01-10,0.75,0.25,-0.5,Improvement,Roger. Activate Route 2,Roger,roger activating route 2
01-11,0.375,0.0,-0.375,Improvement,Execute confirm. Route 2 Activated. Route 2 Activated.,Execute confirm. Go to Activated. Route to activated.,execute confirm route 2 activated route 2 activated
01-12,0.75,1.0,0.25,Worsen,Roger. Direct to AB18R,Roger direct to Urban Manam Drive.,roger direct to abm 1 in roy
01-13,0.625,0.5,-0.125,Improvement,Roger landing checklist. VS700 Check. Down Speedbreaks. Flaps,Roger learning Chinese. BS700 check. Down spin breaks.,roger landing checklist vs 700 check down speed breaks flaps
01-14,0.0,0.375,0.375,Worsen,30 Green light exterior lights on landing clearance.,30 Green light exterior lights on landing clearance.,30gl exterior lights on landing clearance
01-15,0.3333333333333333,0.5,0.16666666666666669,Worsen,Obtain runway 18R. Landing checklist complete.,Obtain runway 180 right landing checklist complete.,obtained runway 18r landing check is complete
01-16,0.3333333333333333,0.0,-0.3333333333333333,Improvement,Roger. Cycling FDs,Roger Cycling Abdies.,roger cycling fds
03-01,0.6666666666666666,0.4444444444444444,-0.2222222222222222,Improvement,Runway in sight. Joining run. Joining downwind runway 18R.,"Are we inside joining, run joining downwind runway 1/8, right?",airway inside joining run joining downwind runway 18r singapore
03-02,1.8,0.4,-1.4,Improvement,Good to joining downwind runway 18R. To land Runway 18R. ,Put it joint down. We didn't run me while you're right Lynn Rahway when it right.,good day join tauin runway 18r land runway 18r
03-03,0.45454545454545453,0.36363636363636365,-0.09090909090909088,Improvement,and passing final approach fix WAYBI 2600 feet that was checked.,And a passing language picks may be 2600 feet that was checked.,and passing final approach pick swab 2600ft that was checked
03-04,0.5714285714285714,0.5714285714285714,0.0,Same,Heading Sel. Alt hold. Route 2 Activate,Outlook Excel out hole route 2 activate.,thanks llf route 2 activate
03-05,0.0,0.0,0.0,Same,Confirm,Confirm,confirm
03-06,0.0,0.0,0.0,Same,Confirm,Confirm,confirm
03-07,0.6363636363636364,0.5454545454545454,-0.09090909090909094,Improvement,LNAV available. And alt hold. Missed approach altitude is 6000 feet. ,Connect available and our home is approached. Our attitude is 6000 feet.,air net available and ockhole miss approach aperture is 6000 feet
03-08,1.0,1.0,0.0,Same,LNAV.  Thousand check,MF6000 checked.,7f 6000 checked
03-09,0.4,0.2,-0.2,Improvement,The next altitude is 1200. ,The next altitude is 1000. 200. ,and next altitude is 1200
03-10,0.5,0.25,-0.25,Improvement,Yes. Minus 700 check. ,"Yes, my son, check.",yes my 700 check
03-11,0.875,0.75,-0.125,Improvement,May I check is the right landing gear?,At Chase Building Gear.,i ll check speed of the line ending gear
03-12,1.5,1.5,0.0,Same,Down. Speedbreak.,Balance speed brick.,down on speed break
03-13,0.625,0.5,-0.125,Improvement,"30, green lights exterior lights, On. Landing Clearance.",30 green light extra. It's a on landing clearance.,30 green light extra rights are on landing clearance
03-14,1.1666666666666667,0.6666666666666666,-0.5000000000000001,Improvement,Obtain Runway 18R. Landing checklist complete,Obtaining one and right my check is complete.,update in runway 18r manjack is complete
03-15,0.25,0.0,-0.25,Improvement,And 950 on profile.,"And uh, 950 on profile.",and 950 on profile
03-16,1.0,0.75,-0.25,Improvement,2 red 2 whites.,3828,282 whites
03-17,0.5,0.5,0.0,Same,and stablized.,And stabilized.,and stabilized
03-18,0.2857142857142857,0.5714285714285714,0.2857142857142857,Worsen,And WAYBI final approach fix 2600 feet.,And maybe final push fix 2600 feet.,and way be final approach fix 2600 feet advice apc
03-19,1.1428571428571428,0.7142857142857143,-0.4285714285714285,Improvement,Runway in sight. Joining downwind Runway 18R.,Probably Insight and joining Darwin Rahway want it right.,rally inside joining darwin rally 18r
03-20,0.8181818181818182,0.18181818181818182,-0.6363636363636365,Improvement,Busan Tower Singapore 616 runway in sight. Joining downwind runway 18R.,Busan Towers Singapore 616 runway inside Join Darwin. When we want it right?,busan tower singapore 616 runway inside joining downwind runway 18r
03-21,1.0909090909090908,0.45454545454545453,-0.6363636363636362,Improvement,Joining downwind runway 18R and to land runway 18R. Singapore 616.,"Actually joined WWE 1/8 right And uh, we had to land runway 1/8 right?",and cleared join downwind 18r and head to land runway 18r singapore 616
03-22,0.0,0.0,0.0,Same,Confirm,Confirm,confirm
03-23,0.0,0.0,0.0,Same,Execute confirm.,Execute confirm.,execute confirm
03-24,1.0,1.0,0.0,Same,Heading Sel.,,exhale
03-25,0.625,0.875,0.25,Worsen,and alt hold missed approach altitude is 6000,And who misapproached her? Dude is 6000,and alt 4 oo missed approach already due it s 6000 feet
03-26,1.3333333333333333,0.6666666666666666,-0.6666666666666666,Improvement,Route 2 activated,How to activate it?,roto activated
03-27,1.0,1.0,0.0,Same,Direct AB18R. Execute confirm,Direct payment one minute right execute confirm.,direct beam 1 minute right execute confirm
03-28,0.6666666666666666,0.6666666666666666,0.0,Same,Confirm. LNAV available ,Cotton unless available.,confirm i have available
03-29,0.6666666666666666,0.0,-0.6666666666666666,Improvement,Flaps at 30,Web set 30.,flaps at 30
03-30,1.0,0.0,-1.0,Improvement,Down. Speedbreak.,Down speed brick.,down speedbreak
03-31,1.0,0.0,-1.0,Improvement,Flaps.,Flip,flaps
03-32,1.0,0.0,-1.0,Improvement,Flaps.,flip.,flaps
03-33,1.0,1.0,0.0,Same,Flaps,Flips.,lems
03-34,0.0,0.2222222222222222,0.2222222222222222,Worsen,30 green light exterior lights are on. Landing clearance.,30 green light exterior lights are on. Landing clearance.,30 greenlight exterior lights are on landing clearance
03-35,1.7142857142857142,0.7142857142857143,-0.9999999999999999,Improvement,8R. Obtain Runway 18R. Landing checklist complete,8R. I think you might want to write when I check this complex.,update ramp 818r night checklist complete
03-36,0.25,0.375,0.125,Worsen,Add 4 whites. High. pitch down a bit.,"Add 4 whites, uh. Hi, pitch down a bit.",and for whites high switch down a bit
04-01,0.5,0.5,0.0,Same,VS Check.,BS Check.,yes check
04-02,0.0,0.0,0.0,Same,1000 to go.,1000 to go.,1000 to go
04-03,0.7272727272727273,0.18181818181818182,-0.5454545454545454,Improvement,"Busan Tower Singapore 616 Runway in sight, joining downwind runway 18R.","It was on Tower Singapore 616 runway Insight joining downwind runway 1/8, right.",u san tower singapore 616 runway in sight joining downwind runway 18r
04-04,0.6,0.2,-0.39999999999999997,Improvement,We are clear to land.,We are.,we are cleared to land
04-05,1.0,0.5,-0.5,Improvement,Alt Hold.,I'll hold.,hold
04-06,0.5,0.5,0.0,Same,Heading Sel,Heading Cell,heading zell
04-07,1.0,1.0,0.0,Same,Comfirm.,Confirm.,confirm
04-08,0.0,0.0,0.0,Same,Route 2 Activated.,Route 2 activated.,route 2 activated
04-09,2.0,0.0,-2.0,Improvement,Direct AB18R,Direct a beam 18 Wright.,direct ab18r
