Sample 01,Real,Azure,Raw prediction,LoRA prediction,LoRA+Prompt prediction
1,Busan Tower Singapore 616 runway in sight joining downwind Runway 18R,Busan Towers Singapore 616 runway inside joining down runway one in right.,busan tower singapore 616 runway inside joining downwind runway 1e right,busan tower singapore 616 runway inside joining down runway one in right,busan tower singa 4616 runway in sight joining downwind runway one in right
2,"Roger, activate Route 2.","Roger, activate Route 2.",roger activity route 2,roger activate route 2,roger activate route 2
3,Roger. Direct AB18R,"Roger directs a bit Money, right?",roger diving will be money right,roger direct ab18r,roger direct ab18r
4,Flaps 30. Flaps at 30,Flights 30. Febsat 30.,flaps 30 flaps 30,flaps 30 flaps at 30,flaps 30
5,VS 700 check. Roger Landing Checklist below the line. Landing Gear.,Via 700 check. Roger Dancing checklist below the line landing gear.,ds700 check roger landing checklist preloaded line landing here,bs 700 check roger landing checklist preloaded line landing here,bs 700 check roger landing checklist preloaded line landing here
6,30 Green light exterior lights on landing clearance.,30 Green light exterior lights on landing clearance.,30 green light exterior lights on landing clearance,30 green light extra lights on landing clearance,30 green light x3 lights on landing clearance
7,Obtained runway 18R. Landing checklist complete.,Obtain runway 1/8. Right landing track is complete.,optane runway 18r landing channel is complete,obtain runway 18r landing checklist complete,optain runway 18r landing checklist complete
8,Captain wrong runway. Captain wrong runway.,Captain run runway. Katyn Long runway.,captain ron renwee captain ron renwee,captain wrong runway captain wrong runway,captain wrong runway captain wrong runway
9,Busan Tower Singapore 616 runway in sight joining downwind Runway 18R,The Sun Tower Singapore 616 runway inside joining downway 1/8 right.,busan tower singapore 616 runway inside joining darwin runway 18r,bussan targo singapore 616 runway in sight joining downwind runway 18r,bussant taro singa 4616 runway in sight joining downwind runway 18 right
10,Roger. Activate Route 2,Roger,roger activating route 2,roger activating route 2,roger activate route 2
11,Execute confirm. Route 2 Activated. Route 2 Activated.,Execute confirm. Go to Activated. Route to activated.,execute confirm good to activate it good to activate it,execute confirm route 2 activated route 2 activated,execute confirm route to activated route to activated
12,Roger. Direct to AB18R,Roger direct to Urban Manam Drive.,roger direct to abim morning road,roger direct to abm 1 in roy,roger direct to abim one in right
13,Roger landing checklist. VS700 Check. Down Speedbreaks. Flaps,Roger learning Chinese. BS700 check. Down spin breaks.,roger landing chain list ds700 check downspeed brakes flaps,roger landing checklist vs 700 check down speed breaks flaps,roger landing shanglis vs 700 check down speedbrakes flaps
14,30 Green light exterior lights on landing clearance.,30 Green light exterior lights on landing clearance.,30 green light exterior lights on landing clearance,30gl exterior lights on landing clearance,30 green light exterior lights on landing clearance
15,Obtain runway 18R. Landing checklist complete.,Obtain runway 180 right landing checklist complete.,optane runway 18r landing checklist complete,obtained runway 18r landing check is complete,obtain runway 18r landing checklist complete
16,Roger. Cycling FDs,Roger Cycling Abdies.,roger the cycling mds,roger cycling fds,roger cycling fds
Sample 03,,,,,
1,Runway in sight. Joining run. Joining downwind runway 18R.,"Are we inside joining, run joining downwind runway 1/8, right?",i will inside joining downwind runway 18r singapore,airway inside joining run joining downwind runway 18r singapore,i will be inside joining run joining downwind runway 18r singapore
2,Good to joining downwind runway 18R. To land Runway 18R. ,Put it joint down. We didn't run me while you're right Lynn Rahway when it right.,click join downwind runway 18r land runway 18r,good day join tauin runway 18r land runway 18r,good day join downwind runway 18r land runway 18r
