utt_id,prev_wer,next_wer,delta_wer,comparison,ref,prev_text,next_text
01-01,0.6363636363636364,0.36363636363636365,-0.2727272727272727,Improvement,Busan Tower Singapore 616 runway in sight joining downwind Runway 18R,Busan Towers Singapore 616 runway inside joining down runway one in right.,busan tower singapore 616 runway inside joining downwind runway 1e right
01-02,0.0,0.25,0.25,Worsen,"Roger, activate Route 2.","Roger, activate Route 2.",roger activity route 2
01-03,1.6666666666666667,1.6666666666666667,0.0,Same,Roger. Direct AB18R,"Roger directs a bit Money, right?",roger diving will be money right
01-04,0.6,0.2,-0.39999999999999997,Improvement,Flaps 30. Flaps at 30,Flights 30. Febsat 30.,flaps 30 flaps 30
01-05,0.18181818181818182,0.45454545454545453,0.2727272727272727,Worsen,VS 700 check. Roger Landing Checklist below the line. Landing Gear.,Via 700 check. Roger Dancing checklist below the line landing gear.,ds700 check roger landing checklist preloaded line landing here
01-06,0.0,0.0,0.0,Same,30 Green light exterior lights on landing clearance.,30 Green light exterior lights on landing clearance.,30 green light exterior lights on landing clearance
01-07,1.0,0.5,-0.5,Improvement,Obtained runway 18R. Landing checklist complete.,Obtain runway 1/8. Right landing track is complete.,optane runway 18r landing channel is complete
01-08,0.5,0.6666666666666666,0.16666666666666663,Worsen,Captain wrong runway. Captain wrong runway.,Captain run runway. Katyn Long runway.,captain ron renwee captain ron renwee
01-09,0.7272727272727273,0.2727272727272727,-0.4545454545454546,Improvement,Busan Tower Singapore 616 runway in sight joining downwind Runway 18R,The Sun Tower Singapore 616 runway inside joining downway 1/8 right.,busan tower singapore 616 runway inside joining darwin runway 18r
01-10,0.75,0.25,-0.5,Improvement,Roger. Activate Route 2,Roger,roger activating route 2
01-11,0.375,1.0,0.625,Worsen,Execute confirm. Route 2 Activated. Route 2 Activated.,Execute confirm. Go to Activated. Route to activated.,execute confirm good to activate it good to activate it
01-12,0.75,0.75,0.0,Same,Roger. Direct to AB18R,Roger direct to Urban Manam Drive.,roger direct to abim morning road
01-13,0.625,0.625,0.0,Same,Roger landing checklist. VS700 Check. Down Speedbreaks. Flaps,Roger learning Chinese. BS700 check. Down spin breaks.,roger landing chain list ds700 check downspeed brakes flaps
01-14,0.0,0.0,0.0,Same,30 Green light exterior lights on landing clearance.,30 Green light exterior lights on landing clearance.,30 green light exterior lights on landing clearance
01-15,0.3333333333333333,0.16666666666666666,-0.16666666666666666,Improvement,Obtain runway 18R. Landing checklist complete.,Obtain runway 180 right landing checklist complete.,optane runway 18r landing checklist complete
01-16,0.3333333333333333,0.6666666666666666,0.3333333333333333,Worsen,Roger. Cycling FDs,Roger Cycling Abdies.,roger the cycling mds
03-01,0.6666666666666666,0.6666666666666666,0.0,Same,Runway in sight. Joining run. Joining downwind runway 18R.,"Are we inside joining, run joining downwind runway 1/8, right?",i will inside joining downwind runway 18r singapore
03-02,1.8,0.4,-1.4,Improvement,Good to joining downwind runway 18R. To land Runway 18R. ,Put it joint down. We didn't run me while you're right Lynn Rahway when it right.,click join downwind runway 18r land runway 18r
03-03,0.45454545454545453,0.45454545454545453,0.0,Same,and passing final approach fix WAYBI 2600 feet that was checked.,And a passing language picks may be 2600 feet that was checked.,and passing for average peaks will be 2600 feet that was checked
03-04,0.5714285714285714,0.7142857142857143,0.1428571428571429,Worsen,Heading Sel. Alt hold. Route 2 Activate,Outlook Excel out hole route 2 activate.,excel outfall root 2 activate
03-05,0.0,0.0,0.0,Same,Confirm,Confirm,confirm
03-06,0.0,1.0,1.0,Worsen,Confirm,Confirm,awesome
03-07,0.6363636363636364,0.5454545454545454,-0.09090909090909094,Improvement,LNAV available. And alt hold. Missed approach altitude is 6000 feet. ,Connect available and our home is approached. Our attitude is 6000 feet.,and if available and not hold miss approach altitude is 6 000 feet
03-08,1.0,1.0,0.0,Same,LNAV.  Thousand check,MF6000 checked.,7f 6000 checked
03-09,0.4,0.4,0.0,Same,The next altitude is 1200. ,The next altitude is 1000. 200. ,next altitude is 1200m
03-10,0.5,0.5,0.0,Same,Yes. Minus 700 check. ,"Yes, my son, check.",yes myself check
03-11,0.875,1.25,0.375,Worsen,May I check is the right landing gear?,At Chase Building Gear.,that takes me to the lane i didn t give a
03-12,1.5,2.0,0.5,Worsen,Down. Speedbreak.,Balance speed brick.,now on speed brick
03-13,0.625,0.375,-0.25,Improvement,"30, green lights exterior lights, On. Landing Clearance.",30 green light extra. It's a on landing clearance.,30 green light extracts are on landing clearance
03-14,1.1666666666666667,0.8333333333333334,-0.33333333333333337,Improvement,Obtain Runway 18R. Landing checklist complete,Obtaining one and right my check is complete.,t in runway 18r main track is complete
03-15,0.25,0.0,-0.25,Improvement,And 950 on profile.,"And uh, 950 on profile.",and 950 on profile
03-16,1.0,0.75,-0.25,Improvement,2 red 2 whites.,3828,283 whites
03-17,0.5,0.5,0.0,Same,and stablized.,And stabilized.,and stabilized
03-18,0.2857142857142857,0.2857142857142857,0.0,Same,And WAYBI final approach fix 2600 feet.,And maybe final push fix 2600 feet.,and maybe final push fix 2600 feet
03-19,1.1428571428571428,0.8571428571428571,-0.2857142857142857,Improvement,Runway in sight. Joining downwind Runway 18R.,Probably Insight and joining Darwin Rahway want it right.,rally inside join darwin rally 18r
03-20,0.8181818181818182,0.6363636363636364,-0.18181818181818188,Improvement,Busan Tower Singapore 616 runway in sight. Joining downwind runway 18R.,Busan Towers Singapore 616 runway inside Join Darwin. When we want it right?,busan tower singapore 616 bramway inside join bramway bramway 18 rides
03-21,1.0909090909090908,0.45454545454545453,-0.6363636363636362,Improvement,Joining downwind runway 18R and to land runway 18R. Singapore 616.,"Actually joined WWE 1/8 right And uh, we had to land runway 1/8 right?",and clear join down runway 18r and clear to land runway 18r singapore 616
03-22,0.0,2.0,2.0,Worsen,Confirm,Confirm,fum fum
03-23,0.0,0.0,0.0,Same,Execute confirm.,Execute confirm.,execute confirm
03-24,1.0,1.5,0.5,Worsen,Heading Sel.,,i think so
03-25,0.625,0.625,0.0,Same,and alt hold missed approach altitude is 6000,And who misapproached her? Dude is 6000,and out full miss approach already is 6000 feet
03-26,1.3333333333333333,0.6666666666666666,-0.6666666666666666,Improvement,Route 2 activated,How to activate it?,it s activated
03-27,1.0,1.0,0.0,Same,Direct AB18R. Execute confirm,Direct payment one minute right execute confirm.,direct beam 1 minute right execute confirm
03-28,0.6666666666666666,1.6666666666666667,1.0,Worsen,Confirm. LNAV available ,Cotton unless available.,awesome i have a billabong
03-29,0.6666666666666666,0.6666666666666666,0.0,Same,Flaps at 30,Web set 30.,website 30
03-30,1.0,1.0,0.0,Same,Down. Speedbreak.,Down speed brick.,down speed break
03-31,1.0,2.0,1.0,Worsen,Flaps.,Flip,let s
03-32,1.0,1.0,0.0,Same,Flaps.,flip.,flips
03-33,1.0,1.0,0.0,Same,Flaps,Flips.,
03-34,0.0,0.1111111111111111,0.1111111111111111,Worsen,30 green light exterior lights are on. Landing clearance.,30 green light exterior lights are on. Landing clearance.,30 green light exterior lights are on lighting clearance
03-35,1.7142857142857142,1.7142857142857142,0.0,Same,8R. Obtain Runway 18R. Landing checklist complete,8R. I think you might want to write when I check this complex.,it right i think i know it right now check this is complete
03-36,0.25,0.25,0.0,Same,Add 4 whites. High. pitch down a bit.,"Add 4 whites, uh. Hi, pitch down a bit.",and 4 whites high push down a bit
04-01,0.5,1.0,0.5,Worsen,VS Check.,BS Check.,you guys check
04-02,0.0,0.0,0.0,Same,1000 to go.,1000 to go.,1000 to go
04-03,0.7272727272727273,0.0,-0.7272727272727273,Improvement,"Busan Tower Singapore 616 Runway in sight, joining downwind runway 18R.","It was on Tower Singapore 616 runway Insight joining downwind runway 1/8, right.",busan tower singapore 616 runway in sight joining downwind runway 18r
04-04,0.6,0.2,-0.39999999999999997,Improvement,We are clear to land.,We are.,we are clear to learn
04-05,1.0,1.0,0.0,Same,Alt Hold.,I'll hold.,i ll hold
04-06,0.5,0.5,0.0,Same,Heading Sel,Heading Cell,heading cell
04-07,1.0,1.0,0.0,Same,Comfirm.,Confirm.,confirm
04-08,0.0,0.3333333333333333,0.3333333333333333,Worsen,Route 2 Activated.,Route 2 activated.,root 2 activated
04-09,2.0,2.5,0.5,Worsen,Direct AB18R,Direct a beam 18 Wright.,derek a beam 18 right
04-10,0.0,0.6666666666666666,0.6666666666666666,Worsen,6000 feet checked.,6000 feet checked.,6 000 feet checked
04-11,0.25,0.25,0.0,Same,Speed check. Flaps 30.,Speed check. Flap 30.,speed check flips 30
04-12,1.0,0.0,-1.0,Improvement,Flaps at 30,Put up set 30.,flaps at 30
04-13,0.25,0.0,-0.25,Improvement,Roger landing checklist below the line. landing gear.,Roger lending checklist below the line lending gear.,roger landing checklist below the line landing gear
04-14,2.0,2.0,0.0,Same,Speedbrake.,Speed brake.,speed break
04-15,2.0,2.0,0.0,Same,Speedbrake.,Speed brake.,speed break
04-16,0.0,1.0,1.0,Worsen,Flaps.,Flaps.,flips
04-17,0.0,0.0,0.0,Same,30 green lights Exterior lights are on.,30 green lights Exterior lights are on.,30 green lights exterior lights are on
04-18,0.6,0.2,-0.39999999999999997,Improvement,Check. Obtain Runway 18R Land.,Check. Runway 18 Ritalin. Land.,check obtain runway 18r
04-19,0.0,1.0,1.0,Worsen,1000 stabilized.,1000 stabilized.,1 000 stabilized
04-20,0.0,0.0,0.0,Same,500 feet stabilized.,500 feet stabilized.,500 feet stabilized
04-21,0.0,1.0,1.0,Worsen,Captain,Captain.,
04-22,0.0,0.0,0.0,Same,"Roger, I have control.","Roger, I have control.",roger i have control
04-23,0.0,0.0,0.0,Same,"Roger, I am ready.","Roger, I am ready.",roger i am ready
04-24,0.0,0.0,0.0,Same,Check VS check.,Check VS check.,check vs check
04-25,0.45454545454545453,0.0,-0.45454545454545453,Improvement,"Busan Tower Singapore 616 runway in sight, joining downwind runway 18R.",Busan Tower Singapore 616 runway Insight joining downwind runway 1/8 right?,busan tower singapore 616 runway in sight joining downwind runway 18r
04-26,0.42857142857142855,0.0,-0.42857142857142855,Improvement,Clear to land Runway 18R. Singapore 616.,"Clear to land runway 1/8 right, Singapore 616.",clear to land runway 18r singapore 616
04-27,0.5,0.5,0.0,Same,Alt Hold.,Out hold.,out hold
04-28,0.0,0.0,0.0,Same,Confirm.,Confirm.,confirm
04-29,0.0,0.0,0.0,Same,Route 2 Activated.,Route 2 activated.,route 2 activated
04-30,0.0,0.0,0.0,Same,Confirm.,Confirm.,confirm
04-31,0.0,0.0,0.0,Same,6000 feet checked.,6000 feet checked.,6000 feet checked
04-32,0.5,0.25,-0.25,Improvement,Speed check. Flap 30.,Speed check.,speed check flaps 30
04-33,0.0,0.0,0.0,Same,A Landing checklist below the line.,A landing checklist below the line.,a landing checklist below the line
04-34,2.0,2.0,0.0,Same,Speedbrake.,Speed brake.,speed break
04-35,0.2,0.2,0.0,Same,MCP Speed. Heading Sel. VS.,MCP Speed heading cell VS.,mcp speed heading cell vs
04-36,0.0,2.0,2.0,Worsen,Flaps.,Flaps.,let s
04-37,0.125,0.0,-0.125,Improvement,And exterior lights are on. And landing clearance.,And exterior lights are on. And lending clearance.,and exterior lights are on and landing clearance
04-38,1.0,0.0,-1.0,Improvement,Obtain runway 18R. Landing checklist complete.,Obtain runway 1/8 right lending check is complete.,obtain runway 18r landing checklist complete
