utt_id,prev_wer,next_wer,delta_wer,comparison,ref,prev_text,next_text
01-01,0.5454545454545454,0.45454545454545453,-0.09090909090909088,Improvement,Busan Tower Singapore 616 runway in sight joining downwind Runway 18R,busan tower singapore 616 runway inside joining down runway one in right,busan tower singa 4616 runway in sight joining downwind runway one in right
01-02,0.0,0.0,0.0,Same,"Roger, activate Route 2.",roger activate route 2,roger activate route 2
01-03,0.0,0.0,0.0,Same,Roger. Direct AB18R,roger direct ab18r,roger direct ab18r
01-04,0.0,0.6,0.6,Worsen,Flaps 30. Flaps at 30,flaps 30 flaps at 30,flaps 30
01-05,0.36363636363636365,0.36363636363636365,0.0,Same,VS 700 check. Roger Landing Checklist below the line. Landing Gear.,bs 700 check roger landing checklist preloaded line landing here,bs 700 check roger landing checklist preloaded line landing here
01-06,0.125,0.125,0.0,Same,30 Green light exterior lights on landing clearance.,30 green light extra lights on landing clearance,30 green light x3 lights on landing clearance
01-07,0.16666666666666666,0.16666666666666666,0.0,Same,Obtained runway 18R. Landing checklist complete.,obtain runway 18r landing checklist complete,optain runway 18r landing checklist complete
01-08,0.0,0.0,0.0,Same,Captain wrong runway. Captain wrong runway.,captain wrong runway captain wrong runway,captain wrong runway captain wrong runway
01-09,0.18181818181818182,0.5454545454545454,0.3636363636363636,Worsen,Busan Tower Singapore 616 runway in sight joining downwind Runway 18R,bussan targo singapore 616 runway in sight joining downwind runway 18r,bussant taro singa 4616 runway in sight joining downwind runway 18 right
01-10,0.25,0.0,-0.25,Improvement,Roger. Activate Route 2,roger activating route 2,roger activate route 2
01-11,0.0,0.25,0.25,Worsen,Execute confirm. Route 2 Activated. Route 2 Activated.,execute confirm route 2 activated route 2 activated,execute confirm route to activated route to activated
01-12,1.0,1.0,0.0,Same,Roger. Direct to AB18R,roger direct to abm 1 in roy,roger direct to abim one in right
01-13,0.5,0.5,0.0,Same,Roger landing checklist. VS700 Check. Down Speedbreaks. Flaps,roger landing checklist vs 700 check down speed breaks flaps,roger landing shanglis vs 700 check down speedbrakes flaps
01-14,0.375,0.0,-0.375,Improvement,30 Green light exterior lights on landing clearance.,30gl exterior lights on landing clearance,30 green light exterior lights on landing clearance
01-15,0.5,0.0,-0.5,Improvement,Obtain runway 18R. Landing checklist complete.,obtained runway 18r landing check is complete,obtain runway 18r landing checklist complete
01-16,0.0,0.0,0.0,Same,Roger. Cycling FDs,roger cycling fds,roger cycling fds
03-01,0.4444444444444444,0.5555555555555556,0.11111111111111116,Worsen,Runway in sight. Joining run. Joining downwind runway 18R.,airway inside joining run joining downwind runway 18r singapore,i will be inside joining run joining downwind runway 18r singapore
03-02,0.4,0.3,-0.10000000000000003,Improvement,Good to joining downwind runway 18R. To land Runway 18R. ,good day join tauin runway 18r land runway 18r,good day join downwind runway 18r land runway 18r
03-03,0.36363636363636365,0.18181818181818182,-0.18181818181818182,Improvement,and passing final approach fix WAYBI 2600 feet that was checked.,and passing final approach pick swab 2600ft that was checked,and passing final approach pick swab 2600 feet that was checked
03-04,0.5714285714285714,0.0,-0.5714285714285714,Improvement,Heading Sel. Alt hold. Route 2 Activate,thanks llf route 2 activate,heading sel alt hold route 2 activate
03-05,0.0,0.0,0.0,Same,Confirm,confirm,confirm
